year_month,monthly_seasonal_max,monthly_seasonal_min,monthly_seasonal_mean,monthly_seasonal_std,point_count,monthly_seasonal_amplitude,city,feature
2025-07,36.07914429727004,-29.23897369224121,0.6664168950870846,19.306747620104243,31,65.31811798951125,Bern,air_quality_Carbon_Monoxide
2025-08,53.66622487555416,-36.64095451724072,0.1562480655554324,22.011679888672475,31,90.30717939279488,Bern,air_quality_Carbon_Monoxide
2025-09,64.28110207553911,-36.09871864509632,0.38014504425029233,22.30034775096234,30,100.37982072063542,Bern,air_quality_Carbon_Monoxide
2025-10,76.0636548143756,-49.74959460344451,-0.7891149623501525,23.847583972384996,31,125.8132494178201,Bern,air_quality_Carbon_Monoxide
2025-11,76.09183026717294,-38.12907212618702,-0.3478271169363506,22.641368997139505,30,114.22090239335995,Bern,air_quality_Carbon_Monoxide
2025-12,57.75228003128253,-31.96168032457437,0.38275472675733796,19.696000226818843,31,89.7139603558569,Bern,air_quality_Carbon_Monoxide
2026-01,38.33132103979033,-26.527095671420405,-0.5105508036234432,15.2727192154395,31,64.85841671121074,Bern,air_quality_Carbon_Monoxide
2026-02,23.21044232355834,-22.656315437792088,0.27157672627002183,11.928833649575262,28,45.86675776135043,Bern,air_quality_Carbon_Monoxide
2026-03,16.39421717255546,-18.858159125770957,-0.01724482754302996,8.827042605163902,31,35.25237629832642,Bern,air_quality_Carbon_Monoxide
2026-04,19.08394161154748,-23.32640387885855,0.1676393748384892,11.271008050768117,30,42.41034549040603,Bern,air_quality_Carbon_Monoxide
2026-05,12.324048060220306,-29.688473546584557,-4.51923428784118,13.123005924842193,15,42.01252160680487,Bern,air_quality_Carbon_Monoxide
2024-05,0.4835984376084677,-0.0161765301222166,0.018525446057650125,0.12404089542484549,16,0.4997749677306843,Bern,visibility_km
2024-06,0.0077336420898213,-0.0084999986220525,-0.00033044768604067326,0.005039727269047987,30,0.0162336407118738,Bern,visibility_km
2024-07,0.0251736235584921,-0.4835463918989657,0.0005217581961806351,0.08998113413281784,31,0.5087200154574578,Bern,visibility_km
2024-08,0.0512084194815679,-0.9657481496571568,0.004342903860026931,0.18020882328303073,31,1.0169565691387248,Bern,visibility_km
2024-09,0.0756436089919713,-1.9161148247212207,-0.0016597291009608568,0.3616335864796968,30,1.991758433713192,Bern,visibility_km
2024-10,0.0793314170442913,-1.9121250757700663,-0.002682910352825916,0.36250735667034284,31,1.9914564928143577,Bern,visibility_km
2024-11,0.0727235979721169,-1.2691153354564453,-0.00148163637632111,0.2691744369188044,30,1.341838933428562,Bern,visibility_km
2024-12,0.0587661016860853,-0.9478123006943552,-0.003682409083270502,0.21242831224046055,31,1.0065784023804405,Bern,visibility_km
2025-01,0.0377054358815872,-0.6407684778304127,0.00349501235153851,0.1197126003686192,31,0.6784739137119999,Bern,visibility_km
2025-02,0.0174758207094987,-0.3680845920780915,-0.001074303919261544,0.07201637212628388,28,0.38556041278759023,Bern,visibility_km
2025-03,0.0079416706838285,-0.0043023878374469,0.002024884929597583,0.003048037697130421,31,0.0122440585212754,Bern,visibility_km
2025-04,0.001578228163149,-0.0024797702064765,-0.00020293181124089916,0.0009539032444366717,30,0.0040579983696255005,Bern,visibility_km
2025-05,0.0043710304365933,-0.0431764007017501,-0.0007028516358182578,0.011462200610716781,31,0.0475474311383434,Bern,visibility_km
2025-06,0.0091250685869659,-0.0921161377719902,-0.0046959552738385126,0.02583199105967402,30,0.10124120635895609,Bern,visibility_km
2025-07,0.3766605125380526,-0.8810977782195838,0.025501959442136825,0.22076260870785586,31,1.2577582907576363,Bern,visibility_km
2025-08,1.5528168341310984,-1.4306768771410818,0.09939623162694032,0.5146648750565124,31,2.98349371127218,Bern,visibility_km
2025-09,3.3854269518890856,-4.231039709954596,0.13951619013378946,1.5194204458970775,30,7.616466661843682,Bern,visibility_km
2025-10,4.753266679202296,-8.414254055427575,0.070463134089416,2.598616060813545,31,13.167520734629871,Bern,visibility_km
2025-11,3.715442074947632,-8.72633552192117,0.0650729075712121,2.820704679168271,30,12.441777596868802,Bern,visibility_km
2025-12,2.932326089589979,-7.167399279743688,-0.15346761442047227,3.7505280802724834,31,10.099725369333667,Bern,visibility_km
2026-01,2.8085014141987905,-13.759081415869517,-0.13316311293124108,4.3783622062812,31,16.567582830068307,Bern,visibility_km
2026-02,2.2684823591244343,-8.038487812497168,0.07956518089125753,2.3997429161465953,28,10.306970171621602,Bern,visibility_km
2026-03,2.34455348800523,-9.433725672396822,-0.08000819485267655,2.54348102577441,31,11.778279160402052,Bern,visibility_km
2026-04,2.598571724115115,-7.71225460068156,0.04703588902805177,1.8240712215626813,30,10.310826324796675,Bern,visibility_km
2026-05,2.61352970701627,-7.410563316421104,-0.2369967469013142,2.618372226939681,15,10.024093023437374,Bern,visibility_km
2024-05,2.1125258087475025,-1.383694771328382,-0.039268868917749125,0.8725554030160068,16,3.4962205800758843,Bern,uv_index
2024-06,1.5410967463634977,-1.5235070107879598,-0.011658378275081437,0.6256107566573047,30,3.0646037571514575,Bern,uv_index
2024-07,1.1677417513256636,-0.8844964977983676,0.02436872192406349,0.5290292523088693,31,2.052238249124031,Bern,uv_index
2024-08,2.002900772035018,-0.8469426961487634,0.04273266806463111,0.5699274875674271,31,2.8498434681837814,Bern,uv_index
2024-09,1.5264751282291928,-1.319875232140319,-0.01667026716909344,0.6117855449622712,30,2.846350360369512,Bern,uv_index
2024-10,1.0969960350529036,-0.8170700698150895,-0.027745832657327118,0.47493801433901445,31,1.914066104867993,Bern,uv_index
2024-11,0.6670831789894583,-0.5781569017382658,-0.020680626516495427,0.2855577852679805,30,1.2452400807277242,Bern,uv_index
2024-12,0.3792060657420569,-0.5222469162626101,-0.008943379600456639,0.18138397584605626,31,0.9014529820046671,Bern,uv_index
2025-01,0.4618133348868278,-0.564596202915788,-0.015325803335410617,0.22254304212096865,31,1.026409537802616,Bern,uv_index
2025-02,0.4127050899257654,-0.7598782205572545,-0.03294304449107062,0.36585653717703776,28,1.17258331048302,Bern,uv_index
2025-03,0.6820487367396554,-1.2000992073852803,0.0122026772799508,0.5247990892080615,31,1.8821479441249358,Bern,uv_index
2025-04,0.9716663842092046,-1.674088032027604,-0.013988545343521626,0.780078547636625,30,2.6457544162368087,Bern,uv_index
2025-05,1.4056069617480156,-2.656449306850598,0.0377822584443104,0.8747320465445899,31,4.062056268598614,Bern,uv_index
2025-06,1.061476576120114,-2.2950326466658355,-0.015204551312717715,0.7800885506444648,30,3.3565092227859497,Bern,uv_index
2025-07,0.8066605160092349,-1.77321033330559,0.03212939633551832,0.6057861029166816,31,2.579870849314825,Bern,uv_index
2025-08,0.5161799933200942,-1.3418531618586735,-0.0040447164712480365,0.46694429218615296,31,1.8580331551787679,Bern,uv_index
2025-09,0.3924133357610905,-0.9032138659668334,-0.00037062788162045606,0.3612041083008599,30,1.2956272017279238,Bern,uv_index
2025-10,0.2733009965900784,-0.6692975426080742,0.0007458449592242618,0.25193572169781636,31,0.9425985391981526,Bern,uv_index
2025-11,0.2394084188733881,-0.4146901119295157,0.003320683512524421,0.14543088686989597,30,0.6540985308029038,Bern,uv_index
2025-12,0.1061026905525936,-0.165920689727851,0.0020986022751719874,0.05531318377476276,31,0.2720233802804446,Bern,uv_index
2026-01,0.0384750244726783,-0.0120288730778777,-7.133649956687095e-05,0.011314970411630387,31,0.050503897550556,Bern,uv_index
2026-02,0.0736472254549562,-0.0334495663121022,-2.343788588916043e-05,0.02420608288682723,28,0.10709679176705839,Bern,uv_index
2026-03,0.1099939906124953,-0.0858158607330971,0.0005724010839441777,0.04499123966644836,31,0.19580985134559242,Bern,uv_index
2026-04,0.1519010003877912,-0.1670099505212877,0.0001059859437547874,0.0749376603180309,30,0.3189109509090789,Bern,uv_index
2026-05,0.1898115991909965,-0.2530847416703398,-0.023078267219176066,0.12204811427146163,15,0.4428963408613363,Bern,uv_index
2024-05,2.295877574795939,-1.2256142614938654,0.8063609513415378,1.1862873899372957,16,3.5214918362898042,Suva,temperature_celsius
2024-06,1.8413040385339692,-4.317195379457171,-0.03761930155239971,1.4216826814489814,30,6.15849941799114,Suva,temperature_celsius
2024-07,1.3853820067240858,-3.117320903113279,-0.04283758599692423,1.035401386550135,31,4.502702909837365,Suva,temperature_celsius
2024-08,1.3908095641201064,-1.965809762951208,-0.01023916582876171,0.7671404709048746,31,3.3566193270713143,Suva,temperature_celsius
2024-09,1.3292789638274536,-1.0142034681231686,-0.0001392954924729517,0.593622783645192,30,2.3434824319506222,Suva,temperature_celsius
2024-10,0.9802266668575252,-1.227260702692919,-0.011813743421541963,0.4946522769899094,31,2.207487369550444,Suva,temperature_celsius
2024-11,0.7968445239852506,-1.125706456321378,-5.4402044261710655e-05,0.523068109872178,30,1.9225509803066285,Suva,temperature_celsius
2024-12,0.9801002261717436,-1.2425520765354852,-0.013972232046542037,0.6332879947993537,31,2.2226523027072287,Suva,temperature_celsius
2025-01,0.9904333661472814,-1.3829261594160722,-0.04492227137984132,0.6554033693235113,31,2.3733595255633535,Suva,temperature_celsius
2025-02,0.968334878696591,-1.2482058357072947,0.03525919410960338,0.5445243893401818,28,2.2165407144038856,Suva,temperature_celsius
2025-03,0.9987352088614904,-0.9894895168706338,-0.04368329524627968,0.5489273706786071,31,1.9882247257321242,Suva,temperature_celsius
2025-04,1.18816110661597,-1.0362358536543637,-0.014762416963478742,0.5831612577909071,30,2.224396960270334,Suva,temperature_celsius
2025-05,1.1329121842769143,-1.2108813728013916,0.016192124189806693,0.5812720323836271,31,2.343793557078306,Suva,temperature_celsius
2025-06,1.4485088211321544,-1.107120328365054,0.024321255483169005,0.6351156237395491,30,2.555629149497208,Suva,temperature_celsius
2025-07,1.6716149304057746,-1.2089373776441157,0.04495716600038198,0.670656916349135,31,2.8805523080498903,Suva,temperature_celsius
2025-08,1.4664922626340755,-1.1875607954781318,0.012358071767531805,0.6650864246434146,31,2.6540530581122073,Suva,temperature_celsius
2025-09,1.1949494407099743,-1.081279264496568,0.012620370163575423,0.621354611415018,30,2.2762287052065426,Suva,temperature_celsius
2025-10,1.1033601393720602,-1.4941646985584218,-0.004325943579596637,0.573697982291047,31,2.5975248379304823,Suva,temperature_celsius
2025-11,1.082814420318097,-1.830881409546789,0.0022558190121951187,0.6518307289260351,30,2.913695829864886,Suva,temperature_celsius
2025-12,1.9618614686061284,-2.177664642913609,0.0523694452522226,0.9388770709565812,31,4.1395261115197375,Suva,temperature_celsius
