scope,city,var_1,var_2,pearson,spearman,mutual_information,distance_correlation,cross_correlation,best_lag
city,Accra,wind_kph,air_quality_PM2.5,-0.3944981286753793,-0.4423480221225334,0.166064610458184,0.4176111071566965,-0.4004602527070717,-27.0
city,Accra,wind_kph,air_quality_PM10,-0.3405488849954316,-0.3961143605533038,0.1436003003194681,0.3606509404506235,-0.3795711368972896,-27.0
city,Accra,visibility_km,air_quality_PM2.5,-0.3636763851914592,-0.4868929391625816,0.1900783874968499,0.4941781402188699,-0.4772415257603709,9.0
city,Accra,visibility_km,air_quality_PM10,-0.3324321658796332,-0.4538090695740497,0.1179982971007933,0.4576810670726609,-0.4374306623744208,9.0
city,Accra,air_quality_PM2.5,air_quality_PM10,0.9691746711840704,0.9531437486032918,1.443802878759627,0.9387041496911492,0.9691746711840694,0.0
city,Kabul,temperature_celsius,humidity,-0.6476751064631903,-0.6459272522058862,0.4422353990633421,0.6352121848943089,-0.6476751064631904,0.0
city,Kabul,temperature_celsius,pressure_mb,-0.917451637370892,-0.9298493329942974,1.037062982251672,0.9098706069932694,-0.9174516373708904,0.0
city,Kabul,temperature_celsius,air_quality_PM2.5,0.1414414065410221,0.1347031058981565,0.1139399322661582,0.1905866785506853,0.2044777198983233,-30.0
city,Kabul,humidity,precip_mm,0.3183749354618924,0.4658035430719172,0.1653464949984249,0.4332591102505345,0.318374935461892,0.0
city,Kabul,wind_kph,air_quality_PM2.5,-0.1372548361991972,-0.0776265813025465,0.0521024907471012,0.2146312904626122,-0.2306691298428647,30.0
city,Kabul,wind_kph,air_quality_PM10,0.0275077235443191,0.1395442330706888,0.0659138400302108,0.1449453125509814,0.1480512739547108,-26.0
city,Kabul,visibility_km,air_quality_PM2.5,-0.0089346388561264,0.0482983678895605,0.0,0.0527306139481395,0.0918521590173772,21.0
city,Kabul,visibility_km,air_quality_PM10,0.0251088226187303,0.0500030896306073,0.0037605268658984,0.0447210431779426,0.1031353863885078,21.0
city,Kabul,air_quality_PM2.5,air_quality_PM10,0.7622324826884496,0.857934208364819,0.8112675292739131,0.7789975538638164,0.7622324826884498,0.0
city,Valletta,temperature_celsius,humidity,-0.7079110128023267,-0.678095867162105,0.9673654411407252,0.6562356539321389,-0.7079110128023274,0.0
city,Valletta,temperature_celsius,pressure_mb,-0.1146057704296501,-0.1458305310932173,0.2011639662474418,0.3252108456454358,-0.1763261922483524,30.0
city,Valletta,temperature_celsius,air_quality_PM2.5,0.3373444016786709,0.5256435728857521,0.1921780642918427,0.4349007972577317,0.379610315802634,27.0
city,Valletta,humidity,precip_mm,0.173582955364157,0.3217185173436669,0.0686855603700538,0.2467146080627618,0.1735829553641571,0.0
city,Valletta,wind_kph,air_quality_PM2.5,-0.1804800370596357,-0.3183700308106565,0.0465424329906314,0.258438026175922,-0.1973109989874321,26.0
city,Valletta,wind_kph,air_quality_PM10,-0.0408581761834595,-0.0646357752725421,0.0074862404106719,0.0886436989089146,-0.1427134585934558,26.0
city,Valletta,visibility_km,air_quality_PM2.5,-0.1679372629905393,-0.1074445921270644,0.0,0.1945250740302286,-0.1799953708248466,1.0
city,Valletta,visibility_km,air_quality_PM10,-0.2536038772525791,-0.1292789364231923,0.0013534849249658,0.2449626750964582,-0.3118251263660127,1.0
city,Valletta,air_quality_PM2.5,air_quality_PM10,0.8237570497271147,0.8544977634726243,0.8049919245951749,0.8535407363710028,0.8237570497271158,0.0
city,Warsaw,temperature_celsius,humidity,-0.658880634365469,-0.6543487927930898,0.5899149546934845,0.6437566129432053,-0.6588806343654677,0.0
city,Warsaw,temperature_celsius,pressure_mb,-0.1738098065772063,-0.2061062301446198,0.1138577282346258,0.2786946827675748,-0.1738098065772085,0.0
city,Warsaw,temperature_celsius,air_quality_PM2.5,-0.417012347559461,-0.5214002307278357,0.288471244393913,0.4731907944124137,-0.4648076007470064,18.0
city,Warsaw,humidity,precip_mm,0.1425103157967959,0.3082625281616524,0.0472609743644145,0.208696169330475,0.1425103157967957,0.0
city,Warsaw,wind_kph,air_quality_PM2.5,-0.425922637074374,-0.4261989164438713,0.2047812230096952,0.4379486306216538,-0.4259226370743744,0.0
city,Warsaw,wind_kph,air_quality_PM10,-0.4285907856013377,-0.4213955716100576,0.2107345016243731,0.4367604051841228,-0.4285907856013384,0.0
city,Warsaw,visibility_km,air_quality_PM2.5,-0.3959020111766408,-0.367257900997282,0.0957648412346612,0.4023480013091669,-0.3959020111766393,0.0
city,Warsaw,visibility_km,air_quality_PM10,-0.3897934691005598,-0.3452463879919719,0.060499303832427,0.3824248435691382,-0.3897934691005588,0.0
