0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
25.786394,26.296642,25.227818,25.732824,25.985184,25.422636,26.303925,25.473824,26.024042,25.974327,26.13878,25.41951,26.123028,26.014544,26.156649,26.183895,26.660154,24.770147,26.560276,26.16171
18.509092,19.143505,20.87902,20.972181,18.55442,17.982277,17.391779,13.268147,15.296525,17.70476,18.297276,18.248241,18.210222,19.581419,21.386002,19.009012,18.966995,18.267717,18.020233,18.29553
15.77747,15.46558,14.1532135,15.541326,15.316662,13.209511,14.8614,17.234531,16.866003,16.039127,14.578817,14.797338,16.323195,17.457943,17.588818,16.959797,17.471996,16.335114,16.153944,16.438421
6.3379393,5.3696823,5.5385084,6.214774,7.874076,9.658512,8.178543,7.8956923,7.939927,8.185548,7.4979835,7.475664,8.273564,6.909496,6.5693016,7.272569,7.8402586,7.3329916,9.370104,7.725814
9.682251,8.994635,9.651425,9.72826,9.371127,8.748351,10.5900345,0.6139331,9.025836,9.684822,8.967468,9.591138,9.123327,9.688901,9.927598,12.322563,13.384386,13.3707695,14.070806,14.470673
24.496399,25.19755,24.96891,25.573982,24.9027,25.545189,26.83607,26.043652,26.303862,26.878927,26.247776,26.050589,24.381151,24.802097,26.41642,26.850735,26.988764,28.096237,28.576492,28.388702
-7.339929,-7.2933755,5.444097,6.9904265,-0.40098286,5.9439435,8.882721,10.07549,10.262827,11.402905,12.3600645,9.5864315,9.08679,8.037998,8.901126,9.527545,9.950732,8.280502,8.286749,7.8901787
27.842043,26.498184,26.860659,27.592003,27.637455,26.967009,27.789154,25.410946,23.61723,26.24582,26.47622,25.25207,27.237507,26.33852,26.829124,26.780561,27.544224,28.02643,28.313848,26.813143
19.60626,21.494457,23.30601,20.92886,21.74155,23.462904,23.173975,23.27766,22.823904,22.631336,23.468431,23.055761,22.934828,24.198618,23.936068,22.249376,23.026634,24.354116,22.387455,17.264563
16.59366,15.5350485,16.255938,15.829375,15.571307,14.698422,15.484498,17.166609,18.005442,15.692959,15.717609,17.647253,18.226576,17.667376,18.031633,17.325548,17.108591,17.153002,17.297012,17.898857
23.570822,23.58894,23.691381,23.874395,23.751516,23.263626,23.36807,22.525679,23.12243,23.515911,23.372965,22.632181,23.454844,22.671694,22.727705,22.996033,22.475014,23.553368,22.681875,23.717897
22.360748,24.32649,24.613111,22.119635,23.712828,24.896816,18.315346,22.225876,25.227287,22.509487,23.474314,23.07948,21.602407,21.321312,19.138233,20.329485,23.179525,23.891924,20.128603,20.616837
28.930178,28.455336,28.476948,28.899786,28.954319,29.148647,29.108175,29.25182,29.113916,29.07648,28.205833,28.900593,29.145334,28.16347,28.723356,29.215662,29.208965,29.238703,29.297024,29.397797
10.121155,9.688909,10.062392,10.586603,11.586987,10.952028,12.3371105,10.661722,7.4743004,9.894199,11.835556,10.647219,10.81818,11.176545,15.948983,13.404599,14.147013,15.537567,16.97477,13.17716
11.41065,13.553928,12.208455,12.6084385,12.175436,13.183958,14.812254,12.764769,12.303784,13.431741,12.327167,12.089752,13.962951,14.833537,14.856123,14.058354,15.056918,15.872536,15.706035,15.2397785
16.791914,15.155722,14.082147,12.878094,11.731784,12.810788,14.685948,16.860052,17.645172,18.105293,17.766409,17.634403,17.02333,15.00203,16.641722,15.437929,14.516162,15.475738,16.846014,14.1301775
18.518152,18.705662,17.880127,17.477364,16.951418,17.079912,17.417238,17.85218,18.991905,19.317991,19.760485,19.568134,20.7117,20.80487,20.95185,21.123201,20.83955,20.759705,21.103966,20.731426
28.458433,28.225138,28.894316,29.447987,28.277481,28.655308,28.760275,28.313534,28.236246,27.980509,28.854574,28.977737,29.25512,28.80034,28.259869,28.656897,27.850998,28.008602,27.611948,27.389938
32.154648,34.13722,33.642612,33.262844,33.665653,33.97825,33.819176,32.516552,31.910736,34.78028,34.172424,31.920639,34.164787,34.239326,34.141426,34.48115,32.429672,33.56781,34.41257,35.53344
7.6795726,6.551253,6.3951044,8.779945,10.301927,9.702601,8.808542,8.199236,8.502892,7.873628,9.002165,8.808949,8.930241,8.624505,9.738844,10.497117,10.051538,10.168013,10.107521,9.218515
17.147467,17.012745,16.40895,17.012774,16.425997,17.172548,18.017382,18.342636,18.156168,18.022709,17.175879,17.471327,15.931123,15.02045,15.883972,17.805374,18.127954,16.00358,16.039085,17.037104
22.195202,19.705902,20.168053,23.644083,22.685133,23.508152,26.662672,23.425386,19.745476,20.08626,23.84938,21.325443,20.036625,19.9279,21.180143,21.339052,20.657692,19.774078,12.56722,22.836832
14.463352,14.641726,12.802008,12.35132,12.797314,15.496622,12.70357,14.822665,17.957996,16.529783,16.274082,18.306063,18.146973,15.7851715,12.752585,15.893295,18.97811,22.446762,19.445427,20.554548
9.536557,12.879849,10.232826,11.548525,13.543705,16.427586,17.260904,18.034225,17.58249,17.822573,19.478098,17.902359,17.304167,14.106915,12.696095,14.054539,17.048313,14.721651,13.608135,12.325854
17.447691,20.383127,20.73722,19.788294,19.591455,17.597315,19.534472,19.557947,22.231882,20.464575,18.402441,17.465786,19.284494,19.72696,18.56982,21.139622,14.117964,15.497187,9.767638,13.383146
17.007744,17.701984,16.484108,15.419699,14.604958,15.857121,17.323631,18.129068,17.697073,17.199244,17.280003,19.542135,18.5686,18.616241,18.923918,18.812378,19.499084,17.929098,18.67672,19.891989
25.860153,25.22577,25.664862,26.211983,24.880783,23.740963,24.021994,25.298075,26.25367,26.74053,25.839035,24.969448,25.420643,24.6571,25.831215,25.824186,24.825218,26.010084,25.20858,24.617496
25.411161,24.421814,24.855284,25.369564,25.3976,25.506733,25.480053,25.495462,25.48088,26.03696,25.53904,25.597603,25.738499,26.150494,25.931395,25.991753,26.466482,26.692003,26.89444,26.618315
18.803772,19.044943,18.13039,17.081888,18.454384,19.63766,19.877176,19.180517,18.365952,18.42954,19.013674,18.819746,15.6452,16.718649,18.58989,18.9038,16.324512,15.534897,15.376356,17.911188
27.9344,26.956907,27.423557,28.15593,24.048347,22.184675,23.279684,25.213522,26.686157,27.328243,28.53513,27.162504,29.636053,29.379265,27.817854,27.451174,27.277256,27.848063,27.056433,26.548588
30.40957,29.920353,30.25561,30.19159,30.191227,30.424475,31.296366,30.488241,30.42209,30.757868,30.962652,31.017382,31.466639,31.319443,31.17899,29.990934,31.009773,30.531933,31.273743,31.181368
